20000 2
-1495 802 1
-2715 -1520 1
-8999 3193 1
373 4149 1
-1859 -1182 1
-4572 8978 1
4536 9053 1
-5144 9866 1
-1415 5054 1
-5457 -5474 1
151 3132 1
-3243 11 1
-7764 -6513 1
-2541 3010 1
531 6134 1
-6724 -3880 1
-8526 -8186 1
-2723 3098 1
-2357 6221 1
-4475 -2407 1
-2275 -705 1
5158 7925 1
-3056 4802 1
-1549 818 1
6264 9452 1
-6364 -2992 1
-7416 -8485 1
-9494 -9828 1
2555 9014 1
-9502 2691 1
-5242 7780 1
-8128 8506 1
-5740 -7394 1
-9526 -8837 1
-8597 -1034 1
-6151 4173 1
-7016 -3770 1
-9094 6373 1
-5729 -848 1
-3710 4665 1
-1219 -1485 1
-2034 -1957 1
-8027 9266 1
1457 4041 1
1575 7922 1
3522 7633 1
-3467 7577 1
-6835 -5051 1
-8076 -3336 1
-8269 -7010 1
-6746 247 1
-8685 -5850 1
2950 4618 1
-9193 7188 1
-1807 664 1
-7188 -109 1
-8879 2591 1
-8094 -1447 1
-1470 2458 1
-6161 -46 1
-6917 3921 1
-1959 6474 1
-6569 -5749 1
4701 7163 1
-9008 -453 1
-4854 -3447 1
-6809 3419 1
-8572 -153 1
447 1555 1
-1065 660 1
-9717 7241 1
-6006 -5125 1
392 669 1
734 8780 1
-7744 4806 1
-837 5719 1
-1959 8802 1
1097 1849 1
2129 3192 1
73 5224 1
-5138 -1803 1
-2753 8442 1
-5628 -6305 1
-3951 3472 1
-8358 -6748 1
-6495 -3304 1
-7427 -7614 1
-9284 9345 1
2063 5948 1
-3433 9598 1
2032 7842 1
-3812 5800 1
-7617 -1593 1
-9728 7433 1
2476 6853 1
3230 6714 1
1529 5023 1
-9790 -3781 1
-82 6794 1
341 7794 1
-742 7224 1
3482 7762 1
85 4829 1
3900 8544 1
-8812 2071 1
-7035 -7049 1
-9842 2564 1
-1189 5217 1
-1088 2211 1
2730 4948 1
-6182 5851 1
-9404 -4361 1
-1472 2051 1
-5834 9320 1
-590 3531 1
-1548 6836 1
-586 3788 1
-1032 4206 1
1007 5919 1
-2939 6102 1
-7005 -7888 1
-5757 -3245 1
-5097 -2488 1
-9143 -6616 1
-9901 -7078 1
-6619 8116 1
-1305 -865 1
-4133 5720 1
-8437 -2980 1
-7142 2771 1
-5943 4657 1
-358 6641 1
-6193 9862 1
-5113 2661 1
-3407 -4523 1
3652 7588 1
-543 6138 1
1046 5925 1
-8150 7713 1
-6698 -2510 1
-5733 -1601 1
-3600 3361 1
-8085 7459 1
-5122 3560 1
-1147 -831 1
-1249 6100 1
-2974 6344 1
2049 9629 1
-8094 6514 1
683 7318 1
-5574 -3014 1
334 6179 1
-6120 -5808 1
-5408 -1596 1
-6194 -2586 1
89 3837 1
-9342 5 1
-2643 -819 1
-6013 809 1
-6284 -1781 1
-5305 8810 1
-8655 1371 1
-7464 -6991 1
-6618 -170 1
-1174 7355 1
-8369 1855 1
-8978 -7433 1
-5444 3086 1
-6924 775 1
-6323 1547 1
-5874 9863 1
-1117 3277 1
-7015 8896 1
-82 7994 1
-6399 -4260 1
-2116 -2954 1
-1794 7657 1
-1122 7372 1
-1423 5507 1
-5868 3215 1
-6600 2239 1
-7736 7833 1
1900 7851 1
97 4598 1
-5667 -4895 1
-7563 8982 1
-5349 -2913 1
-4764 -4901 1
2509 4409 1
-1160 -323 1
-5655 2436 1
4155 9614 1
2129 3384 1
3309 9851 1
-6749 5426 1
-8774 -9980 1
-8621 -6358 1
1675 8057 1
-1123 8620 1
1680 5530 1
-1966 -2141 1
-6541 8428 1
-6185 -8670 1
280 3842 1
-8175 4250 1
1182 4452 1
-2199 9977 1
-8163 1191 1
-6280 6812 1
-4357 7795 1
-6019 9097 1
-9290 5738 1
-3144 2558 1
-4275 3017 1
-1861 998 1
2110 6143 1
-3650 4156 1
2325 3587 1
-7555 -4004 1
-4904 -4944 1
-2516 7621 1
-4132 1223 1
-4726 -4245 1
2311 9181 1
-9293 6814 1
-2893 4006 1
-7469 -1876 1
3048 5236 1
-6097 8580 1
-8415 2681 1
-7061 8349 1
-6900 5694 1
-8526 6990 1
-9316 224 1
-3422 6234 1
-876 1797 1
-5036 -1498 1
-5323 -1530 1
-1643 -1733 1
1448 2592 1
-853 8530 1
-5116 -5731 1
-3498 7794 1
-7294 -7471 1
-9008 3284 1
2538 3673 1
-5495 9367 1
-7569 -2095 1
-4157 -2623 1
1395 6126 1
-7097 6853 1
-487 9419 1
-6623 2211 1
-8091 -8293 1
-5662 -6615 1
-6313 4264 1
-3188 6523 1
-6016 -3047 1
2578 6956 1
-5610 8952 1
-6038 -3395 1
-2441 -1229 1
-8764 -4502 1
-2361 3450 1
-1031 3802 1
-5753 -3883 1
2909 7651 1
-6918 -7473 1
-8602 3850 1
-4323 9508 1
-3542 -2374 1
1788 9204 1
-7886 1176 1
-8302 5023 1
-8551 -4207 1
-5160 -643 1
-7874 8529 1
3106 6769 1
1541 5422 1
-8391 8095 1
-5104 9534 1
-6280 -8789 1
-9528 -6692 1
2070 8052 1
-8870 2130 1
961 6387 1
-4733 651 1
-5211 9013 1
-5143 9320 1
-6464 3238 1
395 6668 1
-8767 -7920 1
-1917 -1299 1
3011 8036 1
-698 8802 1
-7264 -7545 1
-4416 -1241 1
-5862 -745 1
-2304 -3099 1
-6761 -919 1
-3318 7815 1
-7538 8046 1
337 1131 1
-299 6914 1
-8778 -9059 1
338 3681 1
-4632 8252 1
-8668 9280 1
-3958 -3530 1
-5987 -1264 1
-8188 1840 1
-9693 -9542 1
-4613 -1699 1
-9699 -2460 1
-7226 7181 1
-3137 4516 1
-3602 9475 1
-4052 -3855 1
-269 9047 1
-6566 8939 1
4172 9078 1
-7573 3769 1
-3600 6851 1
6199 9922 1
4749 9783 1
-1209 7186 1
-119 8464 1
2991 9903 1
-1631 167 1
-9519 9812 1
-8497 4994 1
-2393 6646 1
-5254 2580 1
-6355 1676 1
-9731 -1617 1
42 2411 1
-9509 633 1
-7828 -5793 1
-356 3424 1
-4003 6521 1
2387 3777 1
-7568 -3479 1
-2110 -2641 1
-2021 2933 1
-5019 -194 1
69 4558 1
2150 4320 1
407 9785 1
-6345 9124 1
-422 7959 1
-952 4075 1
-9629 182 1
-7167 6119 1
-6232 6422 1
-2772 9846 1
-1327 4313 1
-8223 -6641 1
-4656 -5749 1
-7761 -2848 1
-9896 -7975 1
-7831 -8197 1
-9706 -8857 1
-9711 8319 1
-3074 5367 1
-3442 -1275 1
-321 9062 1
-1762 -2348 1
-4014 -3094 1
-2181 8198 1
-9475 8434 1
-3936 6568 1
-6930 -3942 1
-2844 -2630 1
-4215 -32 1
-6795 -8073 1
-7941 4522 1
-5082 -2432 1
-8587 -620 1
-6094 -8117 1
-6201 -7135 1
-2796 -624 1
-1738 7276 1
-8942 -1750 1
-3616 675 1
-4146 9823 1
-6269 -2144 1
-7631 4307 1
-925 7442 1
-44 979 1
2143 3411 1
2978 5445 1
-97 8574 1
-5846 7975 1
-5101 -4530 1
-5570 -4720 1
-7388 -1680 1
-2285 1664 1
-914 5502 1
-4894 350 1
-7732 -3879 1
-8854 -8464 1
-3719 1666 1
1996 6638 1
1643 6503 1
-6054 -3949 1
-7955 -1907 1
-25 718 1
-1993 1788 1
-8379 -2405 1
-479 8628 1
-9776 -3599 1
-6816 -5561 1
-2700 2088 1
-5384 -4679 1
206 8790 1
4397 9033 1
-4007 6792 1
-5622 -3176 1
-9305 -4639 1
-4593 8846 1
-9411 -2870 1
358 5741 1
-8283 2019 1
-4094 731 1
-2601 259 1
-1398 -1729 1
35 5978 1
-6205 4138 1
-880 1681 1
-4351 574 1
-5320 1526 1
-6900 3010 1
1694 7116 1
2971 4721 1
-5083 5766 1
-7689 -8737 1
5456 8678 1
2649 8110 1
-4580 9444 1
-8309 2069 1
1565 4346 1
-2217 7913 1
-3602 -4712 1
-5587 4491 1
-8523 1930 1
-4317 8638 1
-9725 8873 1
-2333 9971 1
-8053 4553 1
-4641 6697 1
-3172 3118 1
-5467 -4452 1
-4086 7376 1
120 9400 1
-3225 -741 1
-8229 -7209 1
-6483 -6811 1
-5500 4529 1
-8806 9240 1
-3645 9348 1
-7872 8026 1
-2469 4604 1
454 4471 1
3415 5248 1
856 6629 1
-6853 -4619 1
3149 7729 1
3999 5656 1
-3659 -2628 1
-2918 4877 1
-4896 -6611 1
-6626 3934 1
-8276 4864 1
-5028 2273 1
-820 3043 1
-9535 2699 1
-114 -68 1
367 6197 1
-4557 -2102 1
-8308 517 1
-7983 758 1
1848 9669 1
-3147 -542 1
-2640 275 1
495 2606 1
-3323 -376 1
-6862 4221 1
-9870 1504 1
-6944 3365 1
-4978 -6349 1
2308 4320 1
668 7767 1
-3165 -3644 1
-4810 -4601 1
-5193 -6073 1
4485 9168 1
940 9881 1
397 9487 1
-2584 -2298 1
6285 9414 1
-7058 -5623 1
-3150 1814 1
-5482 -823 1
2571 5571 1
-9022 7336 1
-9834 -37 1
-8618 -1251 1
-7644 -6530 1
-6390 3117 1
4595 8899 1
1433 2574 1
2061 7990 1
-3251 -3589 1
-7860 -5254 1
-2201 -2136 1
-9316 -2101 1
2897 4968 1
4444 8605 1
-6874 -8224 1
-4353 7278 1
-9751 -8547 1
-2276 2267 1
-5765 7143 1
1930 9161 1
-8031 1448 1
-6158 -1957 1
-5918 4312 1
-5069 -555 1
-9188 5479 1
-9122 5830 1
-7800 9321 1
5395 7830 1
-6825 -5782 1
-7796 -3096 1
-6580 -6848 1
-9882 6790 1
-7003 72 1
-930 5675 1
-1197 540 1
-1189 6833 1
-4304 4352 1
-4016 518 1
3560 8349 1
-7930 -5155 1
136 7735 1
-6499 6445 1
-5479 4914 1
-8755 4607 1
5390 8670 1
674 7760 1
-9520 7621 1
-3397 -1196 1
-7877 5138 1
-1286 6447 1
-9290 8537 1
-6792 560 1
1264 9302 1
-8568 -3840 1
-6188 -8600 1
-6156 8190 1
-3429 -4694 1
-2531 -2878 1
-7061 6506 1
1564 8439 1
-5586 -631 1
-7720 9531 1
-9286 4152 1
-748 5553 1
-7775 -3929 1
-4137 -2594 1
-2868 -2821 1
-6487 5651 1
-9939 5472 1
-5648 2470 1
-8852 2536 1
4977 7541 1
-9203 -5681 1
-2410 6162 1
-6753 -299 1
-6777 -1846 1
-2054 6112 1
-4174 6269 1
1747 9489 1
-9219 3084 1
-5363 3952 1
-5831 -8012 1
-416 2735 1
-3395 9603 1
-1106 5689 1
-1336 6670 1
-6507 677 1
-4985 8390 1
-9197 8401 1
-6819 2149 1
-6896 -690 1
-5445 -7225 1
-9086 5694 1
3453 9685 1
-7246 -1812 1
-8700 4887 1
-7254 -379 1
-8703 1391 1
-8609 -7760 1
-7600 -8514 1
-7025 7612 1
1639 7244 1
-1810 726 1
-110 9262 1
-9842 5767 1
-5164 -2080 1
-1492 3065 1
-4593 8127 1
-7574 362 1
-507 6762 1
-7266 -7753 1
-7691 -2433 1
-6073 7157 1
5191 8224 1
-2024 86 1
-2981 7007 1
-9046 -9655 1
344 4817 1
-7945 -9476 1
-5506 497 1
3240 7371 1
-7099 -4103 1
5706 8442 1
-3175 7233 1
-9159 6947 1
-8306 393 1
-5256 -2828 1
442 3006 1
-8661 3384 1
-8872 -5703 1
-2869 -3633 1
-31 2462 1
-183 6971 1
-9250 8664 1
-3088 5743 1
-9513 -5053 1
-6758 -8697 1
-2853 8557 1
-7920 -5835 1
1073 6584 1
4179 9082 1
-1871 4519 1
-1485 3241 1
1661 2658 1
-4073 9656 1
-9155 3746 1
-8006 5084 1
-6391 -2325 1
-933 9314 1
-5746 8738 1
-4524 4086 1
211 4509 1
-2026 6033 1
-6054 -603 1
637 6859 1
-4065 -2826 1
-4415 4926 1
-6632 8439 1
-7268 -8885 1
-8059 -9385 1
-1193 189 1
-4222 7617 1
-9441 4901 1
-2581 1333 1
-8103 -9249 1
4434 6780 1
-3506 2901 1
-4983 -4124 1
-4290 495 1
-9846 4883 1
-1570 7011 1
-8670 9833 1
2374 3453 1
3057 6757 1
-7434 5483 1
-4366 -1244 1
3533 5772 1
-642 1381 1
1759 7767 1
-2609 -1325 1
-9342 -7625 1
-1372 2774 1
-4742 -1350 1
-4778 5845 1
-6378 -2803 1
-5017 -6299 1
-6893 5350 1
-9181 -8102 1
-3188 1658 1
-6378 1104 1
436 2525 1
-7292 -2488 1
4464 8384 1
1453 4005 1
-3884 -5056 1
-8268 825 1
1524 2337 1
-7795 9432 1
418 8871 1
-4196 -5238 1
-6245 7416 1
-3304 5639 1
-2360 1747 1
-3337 -200 1
-4373 -5468 1
-8883 7440 1
-7535 -9201 1
-4899 -3004 1
2983 4538 1
-1062 3964 1
-7341 9406 1
-8204 -5437 1
-9732 -7865 1
-9210 -3991 1
-1108 -1348 1
-6546 2953 1
-7667 247 1
-5595 9781 1
-9130 2405 1
-8153 -483 1
-6810 3879 1
-9622 8254 1
-5308 -644 1
-4554 8687 1
2806 7665 1
-5200 617 1
-4416 4852 1
2882 8921 1
2840 6030 1
-8901 -475 1
-4770 -1190 1
-5909 -1629 1
-9710 -6081 1
-6498 5335 1
-5040 5265 1
-2107 -2212 1
-8639 -2632 1
-7380 -6451 1
-6837 -8773 1
-8564 -1734 1
-8361 2765 1
1544 9817 1
3044 6793 1
682 7371 1
-7691 -8368 1
-9502 8858 1
-9978 -8441 1
-786 7982 1
-5 9379 1
-1662 5029 1
-2677 32 1
-5883 6703 1
1995 4625 1
-6906 4121 1
-4910 -995 1
-6269 2230 1
-9756 -2461 1
-5830 3383 1
1239 4007 1
-3476 -3177 1
-2483 -2068 1
-5395 4016 1
-6724 -2815 1
-6446 3964 1
-6240 4406 1
-4715 -2941 1
-1069 1984 1
700 1382 1
-1748 8576 1
-2747 -1570 1
5800 9529 1
-4280 -3417 1
-7605 3964 1
-9850 2855 1
1111 8782 1
807 3448 1
1242 9286 1
-1567 3191 1
-960 1576 1
-7541 4329 1
-2691 5467 1
-9041 -6520 1
-8237 -4395 1
-2616 7547 1
-9850 -7771 1
119 8269 1
-8814 -208 1
-1772 6853 1
-42 5598 1
-5629 4301 1
927 7085 1
178 6464 1
-1516 2690 1
-4478 2570 1
-8703 -6960 1
-8684 3616 1
-6434 615 1
1611 7011 1
-8929 975 1
-9376 4536 1
-9145 -4479 1
-8725 6293 1
2792 7742 1
-6347 2452 1
-567 4292 1
-8365 -2492 1
933 3740 1
5956 9659 1
-3342 8989 1
1029 3259 1
-4123 -2284 1
-7633 3731 1
-4109 -1721 1
-1663 7984 1
-8618 3083 1
-6827 -1584 1
-4693 9590 1
-4271 8924 1
2359 7393 1
-2780 3309 1
-9414 -9861 1
-3745 -4784 1
4809 7696 1
6614 9525 1
-1618 2734 1
-1892 -416 1
-1284 1852 1
-3797 7600 1
-9280 -6546 1
-2837 -966 1
-4471 554 1
-8924 9940 1
-2819 2711 1
-1422 -1561 1
-3044 -1437 1
-8918 -4958 1
-125 2012 1
-3512 -609 1
-5363 2772 1
-7995 -7632 1
-8680 -1189 1
2014 9942 1
-7349 -4721 1
1049 1972 1
4213 9925 1
-2489 5654 1
-5639 -2787 1
-6859 1367 1
589 6573 1
2400 5868 1
-8775 6504 1
-3497 -1808 1
-5696 -6084 1
-1031 8252 1
-9571 -9839 1
-5824 -7792 1
-4875 9315 1
-5716 -7609 1
-3664 -4735 1
-2902 2865 1
-4327 9767 1
-7888 6336 1
-7615 -5031 1
-7861 8812 1
1649 7311 1
4207 8246 1
-6148 4271 1
-2662 4542 1
898 8587 1
-8402 2036 1
5292 8774 1
-4880 4987 1
-3414 7903 1
-753 9589 1
-7114 -2562 1
3908 6779 1
-2981 -147 1
-8249 125 1
-6550 -4474 1
-9434 6857 1
2086 7998 1
-3455 341 1
-8828 -5580 1
-5295 -1754 1
-6956 6792 1
-5955 -7674 1
2567 5858 1
-8766 7361 1
-4467 -2243 1
-3541 7372 1
5645 8823 1
-3018 -772 1
-5960 8675 1
-9664 -8798 1
4947 7720 1
-7363 3428 1
-5403 7827 1
-8579 -5406 1
475 1754 1
3117 5192 1
-7184 2922 1
-6891 4593 1
-4321 -196 1
-2815 813 1
-8658 -8330 1
-9390 -4037 1
-1285 9453 1
-7843 -1811 1
-9611 -5739 1
-1153 6334 1
-8720 2641 1
-6368 3 1
-2482 6972 1
-9659 -9809 1
-5034 5564 1
-5112 1472 1
-7457 9594 1
-1890 8250 1
-5650 3141 1
-5450 820 1
-5515 9923 1
-6183 -5831 1
-8904 9528 1
-882 -1053 1
-7910 4949 1
1797 4678 1
-8259 6367 1
-8044 -9753 1
-7406 9461 1
-2709 9450 1
-7031 826 1
-6002 8227 1
-2438 -3293 1
767 8356 1
-7286 4135 1
-4591 -4065 1
-6669 1609 1
-3946 6164 1
-7402 4945 1
-7922 -7781 1
-1752 758 1
4102 6929 1
-3767 3489 1
1392 7261 1
-6088 4661 1
-2618 -34 1
-3724 -886 1
-4681 9008 1
-6354 -1292 1
-4111 8292 1
4818 8674 1
-1879 5353 1
-5383 6150 1
1792 6484 1
-439 2302 1
-7083 8545 1
4025 5951 1
-7946 9357 1
1853 7436 1
-7968 -3314 1
-2174 7266 1
-4586 -2308 1
-9974 -2802 1
-8140 -4908 1
-9190 -5337 1
-2476 1823 1
-6927 -1616 1
-162 2770 1
54 2614 1
-6071 9171 1
-9628 -6534 1
-9691 -1951 1
-3030 1169 1
-2960 -298 1
-637 5241 1
5241 8295 1
-3104 5167 1
-8989 -7582 1
-141 4725 1
-3287 -324 1
2289 5173 1
-2747 -1917 1
-2985 4632 1
-4233 2666 1
-7772 6769 1
-138 5582 1
-2861 -1144 1
-3337 5111 1
-1106 3613 1
-676 -925 1
-6357 658 1
-4855 -1666 1
-1868 3493 1
-9010 4068 1
-5543 -7643 1
-7220 -4585 1
5360 9734 1
-427 9786 1
-9740 -699 1
-5091 -6062 1
-139 3720 1
-5127 -6809 1
-4575 6986 1
-6365 -8115 1
35 4785 1
-8968 1277 1
-679 8312 1
-3033 -1366 1
-597 6763 1
1083 8199 1
-7057 -8832 1
-5782 -5688 1
1107 5435 1
-4513 -400 1
-9104 -1306 1
-9422 7807 1
3775 7672 1
-6519 -5920 1
-9459 2574 1
-7071 6361 1
-2961 1595 1
3427 5469 1
-5834 5463 1
4167 6878 1
-6703 3638 1
4829 8068 1
-6948 -8294 1
-7287 4956 1
-3331 9738 1
-4740 827 1
-7326 -3163 1
-391 8252 1
1931 7150 1
-4287 -5329 1
-9988 -4260 1
-5084 -3203 1
-5596 -2008 1
-7221 5873 1
3897 7834 1
-3518 2387 1
-8847 -1010 1
-4916 2790 1
-4884 -638 1
-4983 9704 1
-7887 2891 1
-7603 -7569 1
-9992 -9015 1
-7540 -7138 1
-5704 7970 1
-3171 4115 1
-4806 3428 1
-7373 1611 1
-6222 3853 1
-9663 -8166 1
-5143 3361 1
-4749 4924 1
-8562 -559 1
-5152 -1736 1
-6504 -2348 1
-1594 8736 1
-5710 -641 1
-9012 -2267 1
-4839 -4268 1
-2019 9397 1
-9887 -3590 1
-4409 -1148 1
-6895 -7357 1
-244 7491 1
-6051 -190 1
-3161 4420 1
-9005 2956 1
-370 5380 1
-4096 -3140 1
-3460 7006 1
-5484 4178 1
-3493 1950 1
-8406 -1951 1
-6233 1901 1
-7813 -8603 1
-3034 4154 1
849 3338 1
5087 9515 1
-8714 -3328 1
-9828 -2683 1
-3496 2590 1
-3612 -70 1
125 2269 1
-1818 9550 1
-908 -7 1
-9515 1401 1
-4940 8541 1
2768 6094 1
-2592 9642 1
-7309 -2089 1
-4372 -3535 1
-7304 -8780 1
-567 2193 1
782 2260 1
-9639 -6255 1
-4411 6761 1
-8649 3139 1
-6336 -4519 1
-6959 -1545 1
-2144 -843 1
-9445 -5263 1
4 6721 1
-5460 -5345 1
-8535 2679 1
-6526 -362 1
3547 5184 1
-6479 7447 1
-9126 -1398 1
660 6580 1
-9059 -5409 1
-2846 354 1
-6816 -4629 1
-108 3530 1
-7400 7155 1
-7934 3953 1
-7455 7362 1
-7118 -3275 1
1920 5727 1
-4272 -5648 1
-7555 1668 1
161 3328 1
3062 5595 1
688 3523 1
-5035 -5648 1
-1714 3998 1
-360 7382 1
-2375 916 1
-7703 8133 1
-7345 -1391 1
-5099 552 1
-5140 -3250 1
-6367 531 1
-5291 5369 1
-8007 -3792 1
-1520 5994 1
-1935 -161 1
-9444 -1545 1
3061 5099 1
-336 7897 1
-836 2214 1
-5267 6129 1
-8111 -6578 1
2415 4563 1
-5530 276 1
-5085 -3319 1
-776 1289 1
-2815 -3201 1
-7993 9788 1
-7763 -2624 1
2569 7863 1
-5328 -3345 1
-7756 -1208 1
5253 7813 1
-7375 6137 1
-5263 2527 1
-6845 3885 1
-6676 -7314 1
2268 3657 1
-163 4282 1
-5629 4983 1
-5375 -1324 1
-8573 -6899 1
-9852 713 1
-4697 3824 1
4135 8005 1
-5997 2950 1
-8136 -9098 1
-5530 -2130 1
-5795 -547 1
-5437 8629 1
-5223 9283 1
-8995 -3034 1
-9121 7230 1
-5765 7075 1
5329 8603 1
-7013 1465 1
1952 3824 1
-8430 5991 1
-4115 5570 1
-5979 -2427 1
-5257 5063 1
-7523 -4504 1
-853 5514 1
-421 4534 1
4851 9507 1
-9637 -36 1
-3497 -3545 1
-4052 36 1
-7638 -1587 1
-4476 2833 1
-4072 4896 1
1711 9780 1
-9906 7716 1
-4611 4897 1
-5878 -751 1
-5300 -3834 1
-9794 -8101 1
-8808 5051 1
-7444 9779 1
-5096 -3348 1
-4373 4418 1
-8272 -2029 1
-6274 4818 1
-6343 25 1
-5055 -1269 1
-9860 2149 1
-8136 724 1
-8866 -9034 1
-1433 -1883 1
-8992 -455 1
5802 9604 1
-3460 -4260 1
-1913 -2352 1
-6883 -2268 1
-7111 232 1
-7342 -6000 1
-4514 3323 1
-3061 5202 1
-5524 -3546 1
-7399 4218 1
-7617 2489 1
-4955 8690 1
-2007 -121 1
-1603 9720 1
-6155 -6440 1
1784 4887 1
-3042 9218 1
-1203 655 1
-3581 9594 1
-8520 3187 1
-1290 550 1
-6479 -5655 1
-3313 2236 1
-8197 5021 1
-5604 4885 1
-3009 -887 1
-7088 2735 1
-9042 2646 1
-5437 2908 1
1329 6917 1
2996 9733 1
-5205 -6944 1
-3461 5940 1
2492 7100 1
-4412 -1494 1
-6745 3329 1
-6260 5649 1
-2709 1050 1
-2084 3431 1
-5498 -2746 1
-3175 3784 1
-8276 6802 1
895 7598 1
1484 2477 1
-7663 -2625 1
-6972 5174 1
-7597 5002 1
1508 5262 1
860 4441 1
-5256 -2121 1
-6756 -2617 1
-1065 1968 1
-2660 8511 1
-3956 4576 1
-8723 -4019 1
2738 7427 1
-8254 -6607 1
3993 8259 1
-1945 -859 1
-6990 3669 1
2853 6581 1
-570 -419 1
-6974 3532 1
-2644 -3449 1
-7267 -8975 1
-7322 592 1
-1992 4504 1
-7026 -3684 1
-8917 4461 1
-5649 -7195 1
-8362 -5273 1
-9628 9901 1
-1804 7833 1
-6101 9566 1
-7008 7499 1
-8902 -2356 1
-5658 928 1
2556 8190 1
-7621 9733 1
3991 5859 1
-7900 2476 1
-6548 -101 1
-2789 8578 1
-9569 2828 1
-7521 9258 1
-7048 -2020 1
-7949 3736 1
-5290 6186 1
-5085 7946 1
-6182 -3237 1
-1224 7761 1
-9537 6281 1
-5280 -5164 1
361 3115 1
3004 8856 1
-7251 -9283 1
-2931 7996 1
-2697 -1921 1
4199 8241 1
-6850 -7282 1
-9041 -2350 1
-3423 7334 1
-4633 7991 1
-7246 6715 1
1406 3885 1
-9951 9046 1
-4147 2489 1
-9934 -4026 1
-9450 -1319 1
-2021 3702 1
3610 8694 1
-4394 9142 1
-9952 -3190 1
-6712 -8119 1
-4645 6798 1
-5178 6378 1
-7100 4663 1
-4011 -564 1
-1247 1461 1
-2503 -2864 1
-2295 1788 1
-3383 5025 1
-2380 -2704 1
-6899 -3360 1
-8069 2803 1
-3163 7865 1
-3085 4164 1
6781 9770 1
-6553 2334 1
-367 6650 1
-4239 3819 1
-1659 3767 1
-2688 6135 1
3158 5214 1
-8212 -647 1
-5314 1035 1
-6877 -5531 1
-1902 1521 1
-5285 6406 1
-5311 437 1
-7732 -3221 1
3105 6721 1
-6311 -5456 1
2656 6960 1
-5526 6382 1
-3813 9761 1
-7990 1148 1
-3554 5687 1
-4913 -3697 1
-9667 80 1
-4405 -223 1
107 4699 1
-3071 6661 1
-3254 9854 1
